Artistname,FamousLevel,genre,Link
Eris Ford,43,gospel r&b,https://open.spotify.com/artist/1zZDuiPTuQzsbXPj4N58G4
Eris Ford,43,christian pop,https://open.spotify.com/artist/1zZDuiPTuQzsbXPj4N58G4
Eris Ford,43,pop worship,https://open.spotify.com/artist/1zZDuiPTuQzsbXPj4N58G4
Cecily,45,worship,https://open.spotify.com/artist/4hryzFSB8IYFIaBba9jUvT
Cecily,45,gospel r&b,https://open.spotify.com/artist/4hryzFSB8IYFIaBba9jUvT
G.E.S,36,gospel r&b,https://open.spotify.com/artist/1r0gAOldNSTyidXhWLDHTF
ELEVATION RHYTHM,64,worship,https://open.spotify.com/artist/0qZ8aSF0iMCQI99AAXikF8
ELEVATION RHYTHM,64,pop worship,https://open.spotify.com/artist/0qZ8aSF0iMCQI99AAXikF8
ELEVATION RHYTHM,64,christian pop,https://open.spotify.com/artist/0qZ8aSF0iMCQI99AAXikF8
ELEVATION RHYTHM,64,christian,https://open.spotify.com/artist/0qZ8aSF0iMCQI99AAXikF8
kaestrings,58,african gospel,https://open.spotify.com/artist/7eEP4TA1RioDH3OBKPcQEC
kaestrings,58,gospel,https://open.spotify.com/artist/7eEP4TA1RioDH3OBKPcQEC
kaestrings,58,worship,https://open.spotify.com/artist/7eEP4TA1RioDH3OBKPcQEC
ISLY,45,christian alternative rock,https://open.spotify.com/artist/6vcdxuQqc3jvWqznVDPEAW
ISLY,45,christian pop,https://open.spotify.com/artist/6vcdxuQqc3jvWqznVDPEAW
ISLY,45,pop worship,https://open.spotify.com/artist/6vcdxuQqc3jvWqznVDPEAW
ISLY,45,cedm,https://open.spotify.com/artist/6vcdxuQqc3jvWqznVDPEAW
ISLY,45,christian,https://open.spotify.com/artist/6vcdxuQqc3jvWqznVDPEAW
ISLY,45,christian folk,https://open.spotify.com/artist/6vcdxuQqc3jvWqznVDPEAW
Josiah Queen,70,christian folk,https://open.spotify.com/artist/7yAymwuYh9RcpX84GSNIq2
Josiah Queen,70,christian,https://open.spotify.com/artist/7yAymwuYh9RcpX84GSNIq2
Josiah Queen,70,worship,https://open.spotify.com/artist/7yAymwuYh9RcpX84GSNIq2
Josiah Queen,70,pop worship,https://open.spotify.com/artist/7yAymwuYh9RcpX84GSNIq2
Josiah Queen,70,christian pop,https://open.spotify.com/artist/7yAymwuYh9RcpX84GSNIq2
Forrest Frank,77,christian hip hop,https://open.spotify.com/artist/1scVfBymTr3CeZ4imMj1QJ
